name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"vec_both/8",162600,4301.1,4297.8,ns,,,,,
"vec_both/64",17842,39483.5,39469.6,ns,,,,,
"vec_both/512",1537,456774,456612,ns,,,,,
"vec_both/4096",172,4.08449e+06,4.08131e+06,ns,,,,,
"vec_both/32768",16,4.55935e+07,4.53552e+07,ns,,,,,
"vec_both/262144",2,3.10348e+08,3.0854e+08,ns,,,,,
"virt_both/8",413811,1699.78,1699.25,ns,,,,,
"virt_both/64",41156,17192.8,17186.6,ns,,,,,
"virt_both/512",2776,248289,248182,ns,,,,,
"virt_both/4096",309,2.24202e+06,2.24059e+06,ns,,,,,
"virt_both/32768",30,2.39505e+07,2.37823e+07,ns,,,,,
"virt_both/262144",4,1.7775e+08,1.77563e+08,ns,,,,,
"var_both/8",1551921,453.701,452.138,ns,,,,,
"var_both/64",149445,4732.82,4727.4,ns,,,,,
"var_both/512",15296,46645.2,46628,ns,,,,,
"var_both/4096",1818,388319,386834,ns,,,,,
"var_both/32768",42,1.72879e+07,1.71734e+07,ns,,,,,
"var_both/262144",6,1.27808e+08,1.26772e+08,ns,,,,,
